Camp,BT,Nota,Sex,Age
1,1,0.00,1,2
1,0,76.59,1,1
1,1,51.69,1,2
1,0,75.54,1,3
1,0,53.73,1,1
1,0,79.37,1,2
1,0,78.32,0,1
2,1,0.00,0,1
2,1,0.00,1,1
2,1,0.00,1,1
2,0,55.17,1,2
2,1,0.00,0,1
2,0,64.81,1,2
2,0,60.25,1,1
2,0,96.07,1,1
2,0,84.24,1,1
2,0,71.91,0,1
2,0,74.86,1,1
2,0,80.53,1,2
2,0,74.90,1,1
2,0,81.59,1,2
2,0,88.62,1,3
2,0,87.26,1,2
2,0,65.10,0,1
2,0,66.48,1,1
2,0,69.46,0,1
2,0,74.38,1,2
2,0,77.32,1,2
2,0,74.73,1,1
2,0,75.47,1,2
2,0,75.48,1,1
2,0,97.00,0,1
2,0,94.33,1,1
2,0,78.43,1,2
2,0,85.58,1,1
2,0,78.93,1,1
3,1,81.29,0,3
3,1,0.00,1,3
3,1,0.00,1,1
3,1,0.00,1,3
3,0,85.38,1,1
3,0,76.09,1,2
3,0,90.66,1,2
3,0,84.62,1,1
3,0,75.60,1,3
4,1,80.37,1,1
4,1,12.63,1,1
4,1,0.00,1,1
4,1,0.00,1,2
4,1,0.00,0,3
4,1,0.00,1,2
4,1,0.00,1,2
4,1,0.00,1,1
4,1,0.00,1,1
4,1,0.00,1,3
4,1,0.00,0,3
4,1,47.82,0,2
4,0,74.89,1,1
4,0,60.20,1,1
4,1,0.00,0,2
4,1,0.00,0,1
4,1,0.00,0,3
4,1,0.00,1,1
4,1,0.00,1,2
4,1,0.00,0,1
4,1,79.00,1,2
4,1,0.00,1,1
4,1,0.00,1,3
4,1,0.00,1,2
4,1,0.00,0,3
4,1,78.33,1,1
4,0,83.07,0,1
4,0,84.26,1,1
4,0,47.16,1,2
4,0,92.85,1,1
4,0,81.66,1,2
4,0,68.27,1,2
4,0,87.26,0,2
4,0,79.38,1,1
4,0,87.68,0,2
4,0,74.66,0,2
4,0,0.00,0,1
4,1,0.00,1,1
4,1,0.00,0,3
4,1,0.00,0,1
4,1,0.00,1,3
4,1,0.00,0,1
4,1,87.17,1,3
4,1,47.80,1,2
4,0,87.39,1,2
4,0,77.71,1,1
4,0,76.27,1,3
4,0,83.97,0,1
4,0,90.21,0,1
4,0,79.85,1,1
4,0,84.71,0,1
4,0,65.09,1,1
4,0,91.82,1,1
4,0,67.33,1,1
4,0,92.81,0,1
5,1,38.29,1,1
5,1,16.58,1,1
5,1,0.00,1,1
5,1,72.56,1,2
5,1,63.58,1,1
5,1,0.00,0,2
5,1,0.00,0,3
5,1,0.00,1,1
5,1,0.00,1,2
5,1,0.00,1,3
5,1,0.00,1,2
5,1,0.00,0,1
5,1,0.00,1,2
5,1,85.11,1,3
5,1,21.32,1,1
5,1,48.69,1,2
5,1,71.64,1,2
5,1,0.00,1,1
5,0,82.52,1,3
5,0,64.70,0,3
5,0,69.00,1,1
5,1,26.79,1,1
5,0,49.05,1,1
5,1,73.75,1,3
5,1,76.68,1,1
5,1,68.27,0,1
5,1,0.00,1,1
5,1,0.00,1,3
5,1,0.00,0,3
5,1,0.00,0,1
5,1,0.00,1,3
5,1,0.00,1,1
5,1,0.00,0,2
5,1,0.00,1,3
5,1,0.00,0,1
5,1,0.00,1,1
5,1,0.00,0,1
5,1,0.00,1,2
5,1,0.00,1,3
5,1,0.00,1,1
5,1,81.95,1,1
5,0,55.53,1,2
5,1,41.87,1,3
5,0,18.73,0,1
5,1,0.00,1,3
5,1,0.00,0,1
5,1,0.00,1,2
5,0,43.84,1,1
