ID,Camp,Est,Antigüedad Días,BT,Nota,Sex,Age
2370,1,0,21,1,0.00,1,2
2212,1,0,133,0,76.59,1,1
6473,1,0,45,1,51.69,1,2
2404,1,0,416,0,75.54,1,3
6218,1,0,428,0,53.73,1,1
6184,1,0,720,0,79.37,1,2
2366,1,1,689,0,78.32,0,1
2269,2,0,6,1,0.00,0,1
2360,2,0,19,1,0.00,1,1
2402,2,0,10,1,0.00,1,1
1032,2,0,150,0,55.17,1,2
6446,2,0,19,1,0.00,0,1
2222,2,0,201,0,64.81,1,2
5171,2,0,224,0,60.25,1,1
6597,2,0,71,0,96.07,1,1
6611,2,0,111,0,84.24,1,1
2351,2,0,324,0,71.91,0,1
6206,2,0,438,0,74.86,1,1
6563,2,0,441,0,80.53,1,2
2326,2,0,662,0,74.90,1,1
2482,2,1,519,0,81.59,1,2
6708,2,1,464,0,88.62,1,3
6541,2,1,522,0,87.26,1,2
5015,2,1,689,0,65.10,0,1
5075,2,1,689,0,66.48,1,1
5077,2,1,689,0,69.46,0,1
5154,2,1,689,0,74.38,1,2
6084,2,1,689,0,77.32,1,2
6096,2,1,689,0,74.73,1,1
2395,2,1,689,0,75.47,1,2
2475,2,1,546,0,75.48,1,1
6693,2,1,484,0,97.00,0,1
6692,2,1,484,0,94.33,1,1
6742,2,1,429,0,78.43,1,2
6811,2,1,333,0,85.58,1,1
8047,2,1,197,0,78.93,1,1
5168,3,0,21,1,81.29,0,3
2219,3,0,2,1,0.00,1,3
5121,3,0,21,1,0.00,1,1
5048,3,0,21,1,0.00,1,3
2223,3,0,233,0,85.38,1,1
6409,3,0,324,0,76.09,1,2
5090,3,0,445,0,90.66,1,2
5049,3,1,689,0,84.62,1,1
2405,3,1,687,0,75.60,1,3
6090,4,0,21,1,80.37,1,1
5198,4,0,21,1,12.63,1,1
6204,4,0,19,1,0.00,1,1
6216,4,0,21,1,0.00,1,2
2298,4,0,18,1,0.00,0,3
6215,4,0,10,1,0.00,1,2
6219,4,0,18,1,0.00,1,2
5019,4,0,21,1,0.00,1,1
2344,4,0,10,1,0.00,1,1
5023,4,0,19,1,0.00,1,3
2299,4,0,19,1,0.00,0,3
2275,4,0,10,1,47.82,0,2
2282,4,0,49,0,74.89,1,1
6073,4,0,58,0,60.20,1,1
2487,4,0,10,1,0.00,0,2
6599,4,0,2,1,0.00,0,1
6603,4,0,4,1,0.00,0,3
6570,4,0,4,1,0.00,1,1
6616,4,0,6,1,0.00,1,2
6574,4,0,9,1,0.00,0,1
2485,4,0,28,1,79.00,1,2
6670,4,0,16,1,0.00,1,1
6612,4,0,19,1,0.00,1,3
6614,4,0,19,1,0.00,1,2
6615,4,0,19,1,0.00,0,3
6605,4,0,36,1,78.33,1,1
6617,4,0,65,0,83.07,0,1
6621,4,0,80,0,84.26,1,1
2489,4,0,100,0,47.16,1,2
2486,4,0,100,0,92.85,1,1
6087,4,0,355,0,81.66,1,2
2503,4,0,218,0,68.27,1,2
6841,4,0,98,0,87.26,0,2
6844,4,0,98,0,79.38,1,1
6660,4,0,98,0,87.68,0,2
6848,4,0,98,0,74.66,0,2
6840,4,0,135,0,0.00,0,1
8093,4,0,1,1,0.00,1,1
8098,4,0,9,1,0.00,0,3
