Periodo,ID,Sector,Campaña,Lider,Fecha Ingreso,FECHA Monitoreo,% NOTA,NOTA,Rango,Estado,Motivo ,Año,Tipo de error ,EA,EG
202203,6220,Adultos Mayores,Adultos,FC,10/3/2021,3/17/2022,0.00%,0.00,1,Baja,Adultos Mayores,2022,,0,0
202204,6220,Adultos Mayores,Adultos,FC,10/3/2021,4/1/2022,33.94%,33.94,1,Baja,Adultos Mayores,2022,,0,0
202204,6220,Adultos Mayores,Adultos,FC,10/3/2021,4/22/2022,73.13%,73.13,3,Baja,Adultos Mayores,2022,,0,0
202205,6220,Adultos Mayores,Adultos,FC,10/3/2021,5/11/2022,71.62%,71.62,3,Baja,Adultos Mayores,2022,,0,0
202205,6220,Adultos Mayores,Adultos,FC,10/3/2021,5/23/2022,71.62%,71.62,3,Baja,Adultos Mayores,2022,,0,0
202206,6220,Adultos Mayores,Adultos,FC,10/3/2021,6/1/2022,87.75%,87.75,5,Baja,Adultos Mayores,2022,,0,0
202206,6473,Adultos Mayores,Adultos,FC,5/26/2022,6/3/2022,23.40%,23.40,1,Baja,Adultos Mayores,2022,,0,0
202206,6220,Adultos Mayores,Adultos,FC,10/3/2021,6/8/2022,90.67%,90.67,5,Baja,Adultos Mayores,2022,,0,0
202206,6473,Adultos Mayores,Adultos,FC,5/26/2022,6/9/2022,93.35%,93.35,6,Baja,Adultos Mayores,2022,,0,0
202207,6473,Adultos Mayores,Adultos,FC,5/26/2022,7/1/2022,38.33%,38.33,1,Baja,Adultos Mayores,2022,,0,0
202207,6220,Adultos Mayores,Adultos,FC,10/3/2021,7/1/2022,88.33%,88.33,5,Baja,Adultos Mayores,2022,,0,0
202208,6220,Adultos Mayores,Adultos,FC,10/3/2021,8/2/2022,73.17%,73.17,3,Baja,Adultos Mayores,2022,,0,0
202112,2212,Adultos Mayores,Adultos,MCL,1/10/2022,12/9/2021,86.88%,86.88,5,Baja,Adultos Mayores,2021,,0,0
202203,2212,Adultos Mayores,Adultos,MCL,1/10/2022,3/4/2022,70.23%,70.23,3,Baja,Adultos Mayores,2022,,0,0
202203,2404,Adultos Mayores,Adultos,MCL,9/15/2021,3/16/2022,78.17%,78.17,3,Baja,Adultos Mayores,2022,,0,0
202204,2212,Adultos Mayores,Adultos,MCL,1/10/2022,4/1/2022,85.67%,85.67,5,Baja,Adultos Mayores,2022,,0,0
202204,2212,Adultos Mayores,Adultos,MCL,1/10/2022,4/13/2022,36.25%,36.25,1,Baja,Adultos Mayores,2022,,0,0
202205,2212,Adultos Mayores,Adultos,MCL,1/10/2022,5/4/2022,90.67%,90.67,5,Baja,Adultos Mayores,2022,,0,0
202205,2212,Adultos Mayores,Adultos,MCL,1/10/2022,5/12/2022,89.85%,89.85,5,Baja,Adultos Mayores,2022,,0,0
202311,2221,Adultos Mayores,Adultos,SS,1/10/2022,11/13/2023,100.00%,100.00,6,Activo,Adultos Mayores,2023,,0,0
202209,6218,Adultos Mayores,Adultos,AL,1/10/2022,9/1/2022,89.85%,89.85,5,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202209,6218,Adultos Mayores,Adultos,AL,1/10/2022,9/20/2022,0.00%,0.00,1,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202210,6218,Adultos Mayores,Adultos,AL,1/10/2022,10/25/2022,94.17%,94.17,6,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202211,6218,Adultos Mayores,Adultos,AL,1/10/2022,11/7/2022,98.00%,98.00,6,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202212,6218,Adultos Mayores,Adultos,AL,1/10/2022,12/20/2022,0.00%,0.00,1,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202301,6218,Adultos Mayores,Adultos,AL,1/10/2022,1/6/2023,75.00%,75.00,3,Baja,Adultos Mayores/Tarjetas,2023,,0,0
202301,6218,Adultos Mayores,Adultos,AL,1/10/2022,1/16/2023,0.00%,0.00,1,Baja,Adultos Mayores/Tarjetas,2023,,0,0
202302,6218,Adultos Mayores,Adultos,AL,1/10/2022,2/10/2023,84.71%,84.71,4,Baja,Adultos Mayores/Tarjetas,2023,,0,0
202303,6218,Adultos Mayores,Adultos,AL,1/10/2022,3/8/2023,0.00%,0.00,1,Baja,Adultos Mayores/Tarjetas,2023,,0,0
202204,6218,Adultos Mayores,Adultos,CD,1/10/2022,4/1/2022,46.95%,46.95,1,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202204,6218,Adultos Mayores,Adultos,CD,1/10/2022,4/13/2022,28.90%,28.90,1,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202205,6218,Adultos Mayores,Adultos,CD,1/10/2022,5/3/2022,37.75%,37.75,1,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202205,6218,Adultos Mayores,Adultos,CD,1/10/2022,5/27/2022,81.63%,81.63,4,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202206,6218,Adultos Mayores,Adultos,CD,1/10/2022,6/3/2022,80.38%,80.38,4,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202206,6218,Adultos Mayores,Adultos,CD,1/10/2022,6/9/2022,67.33%,67.33,2,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202207,6218,Adultos Mayores,Adultos,CD,1/10/2022,7/1/2022,26.67%,26.67,1,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202207,6218,Adultos Mayores,Adultos,CD,1/10/2022,7/4/2022,33.90%,33.90,1,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202208,6218,Adultos Mayores,Adultos,CD,1/10/2022,8/1/2022,85.83%,85.83,5,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202208,6218,Adultos Mayores,Adultos,CD,1/10/2022,8/8/2022,89.85%,89.85,5,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202203,6184,Adultos Mayores,Adultos,FC,3/18/2022,3/16/2022,86.25%,86.25,5,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202204,6184,Adultos Mayores,Adultos,FC,3/18/2022,4/11/2022,38.33%,38.33,1,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202205,6184,Adultos Mayores,Adultos,FC,3/18/2022,5/2/2022,71.67%,71.67,3,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202205,6184,Adultos Mayores,Adultos,FC,3/18/2022,5/6/2022,93.46%,93.46,6,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202205,6184,Adultos Mayores,Adultos,FC,3/18/2022,5/19/2022,0.00%,0.00,1,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202206,6184,Adultos Mayores,Adultos,FC,3/18/2022,6/8/2022,70.60%,70.60,3,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202207,6184,Adultos Mayores,Adultos,FC,3/18/2022,7/1/2022,22.33%,22.33,1,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202207,6184,Adultos Mayores,Adultos,FC,3/18/2022,7/11/2022,80.83%,80.83,4,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202208,6184,Adultos Mayores,Adultos,FC,3/18/2022,8/1/2022,81.88%,81.88,4,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202208,6184,Adultos Mayores,Adultos,FC,3/18/2022,8/9/2022,71.67%,71.67,3,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202209,6184,Adultos Mayores,Adultos,FC,3/18/2022,9/1/2022,83.33%,83.33,4,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202209,6184,Adultos Mayores,Adultos,FC,3/18/2022,9/21/2022,89.17%,89.17,5,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202210,6184,Adultos Mayores,Adultos,FC,3/18/2022,10/4/2022,89.17%,89.17,5,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202210,6184,Adultos Mayores,Adultos,FC,3/18/2022,10/26/2022,71.67%,71.67,3,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202211,6184,Adultos Mayores,Adultos,FC,3/18/2022,11/4/2022,83.33%,83.33,4,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202211,6184,Adultos Mayores,Adultos,FC,3/18/2022,11/23/2022,85.17%,85.17,5,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202212,6184,Adultos Mayores,Adultos,FC,3/18/2022,12/16/2022,85.67%,85.67,5,Baja,Adultos Mayores/Tarjetas,2022,,0,0
